state_name,district_name,block_tehsil_name,village_name,s_no_of_scheme,ref_scheme_type_surface_flow_name,ref_scheme_type_surface_lift_name,ref_scheme_owner_name,total_owners_holding,ref_scheme_owner_social_status_name,gender_name,commissioning_period_display,scheme_construction_cost,scheme_machinery_cost,scheme_maintainence_cost,finance_source_name,finance_source_name2,construction_subsidy,machinery_subsidy,scheme_status_name,not_in_use_years,scheme_status_reason_temporarily_name,scheme_status_reason_permanently_name,water_distribution_method_name,lifting_device_type_name,lifting_device_enrgy_source_name,horse_power_of_lifting_device,pump_operating_days_kharif_season,pump_operating_days_rabi_season,pump_operating_days_perennial_season,pump_operating_days_other_season,avg_pumping_per_day_kharif_season,avg_pumping_per_day_rabi_season,avg_pumping_per_day_perennial_season,avg_pumping_per_day_other_season,ref_selection_id_located_in_major_medium_scheme_name,command_area_name,ref_reason_command_area_name,ref_scheme_recharge_of_ground_water_name,culturable_command_area,ipc_kharif_season,ipc_rabi_season,ipc_perennial_season,ipc_other_season,ipc_total,ipu_kharif_season,ipu_rabi_season,ipu_perennial_season,ipu_other_season,ipu_total,ref_selection_id_under_utilisation_name,ref_reason_for_under_utilisation_name,scheme_designed_storage,ref_filled_up_storage_name,ref_filled_up_storage_space_name,villages_covered,s_no_scheme_within_village_in_water_body,total_no_of_schemes_in_village_above_water_body
ANDHRA PRADESH,ANANTHAPUR,Bommanahal,Kalludevanahalli,2,NA,On Tanks/Ponds/Reservoirs/check dams,Govt. Owned,NULL,NA,NA,During 2014-2015,200000,100000,800000,NA,NA,0,0,In-Use,NULL,NA,NA,Under ground pipe, Centrifugal Pump,Electric,7,85,100,0,0,6,7,0,NULL,Yes,NULL,NA,No,12.15,12.15,12.15,0,0,24.3,8.1,8.1,0,0,16.2,No,NA,900,Full,Usually filled up,3,1,NULL
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Gudimetla,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,6700000,270000,10000,NA,NA,6700000,270000,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,485.83,485.83,485.83,0,0,971.66,485.83,485.83,0,0,971.66,No,NA,NULL,NA,NA,2,1,2
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Kodavatikallu,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,9500000,2500000,250000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,404.86,404.86,404.86,0,0,809.72,404.86,404.86,0,0,809.72,No,NA,NULL,NA,NA,1,1,1
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Popuru,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,2700000,300000,10000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,485.83,485.83,485.83,0,0,971.66,485.83,485.83,0,0,971.66,No,NA,NULL,NA,NA,1,1,2
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Popuru,2,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,9500000,1200000,150000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,404.86,404.86,404.86,0,0,809.72,404.86,404.86,0,0,809.72,No,NA,NULL,NA,NA,1,2,2
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Pokkunuru,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,9500000,1500000,150000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca),Submersible pump,Electric,10,70,70,0,0,7,7,0,NULL,Yes,NULL,NA,No,344.13,344.13,344.13,0,0,688.26,344.13,344.13,0,0,688.26,No,NA,NULL,NA,NA,1,1,2
ANDHRA PRADESH,KRISHNA,Gampalagudem,Kanumuru,3,NA,Others,Govt. Owned,NULL,NA,NA,Up to 2013-2014,250000,50000,0,NA,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Other,Others,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,48.58,48.58,0,0,0,48.58,0,0,0,0,0,NA,NA,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,KRISHNA,Gampalagudem,Ummadidevarapalle,1,NA,On Tanks/Ponds/Reservoirs/check dams,Govt. Owned,NULL,NA,NA,During 2014-2015,200000,150000,25000,NA,NA,0,0,Temporarily Not in use,1,Less discharge of water,NA,Other,Others,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,38.46,38.46,0,0,0,38.46,0,0,0,0,0,NA,NA,8,Upto 1/4,Usually filled up,1,1,NULL
ANDHRA PRADESH,KRISHNA,Chatrai,Janardhanavaram,10,NA,Others,Govt. Owned,NULL,NA,NA,Up to 2013-2014,5000,1000,0,NA,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Other,Others,Others,5,90,60,60,20,7,6,6,6,Yes,NULL,NA,No,3.24,2.02,1.22,0,0,3.24,2.02,1.22,0,0,3.24,NA,NA,NULL,NA,NA,1,10,10
ANDHRA PRADESH,PRAKASAM,Kurichedu,Mustla Gangavaram,70,NA,On-River,Owned by individual farmer,0.275,Others,Female,Up to 2013-2014,5000,30000,0,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe,Submersible pump,Electric,4.5,0,150,0,0,NULL,5,0,NULL,Yes,NULL,NA,No,0.28,0,0.28,0,0,0.28,0,0.28,0,0,0.28,Yes,Storage not filled up fully,NULL,NA,NA,1,70,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Thatukur,4,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by individual farmer,1.32,Scheduled-tribe,Male,Up to 2013-2014,2500,36000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.32,1.32,0,0,0,1.32,0,0,0,0,0,NA,NA,250,Nil/Negligible filled up,Rarely filled up,1,4,NULL
ANDHRA PRADESH,PRAKASAM,Markapur,Peda Nagulavaram,2,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,150000,100000,0,NA,NA,0,0,Temporarily Not in use,2,Mechanical break down,NA,Surface pipe, Turbine/Jet pump,Electric,4.5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,161.94,161.94,0,0,0,161.94,0,0,0,0,0,NA,NA,NULL,NA,NA,1,2,NULL
ANDHRA PRADESH,PRAKASAM,Podili,Kesavabhotla Palem,1,NA,On-drain/canal,Govt. Owned,NULL,NA,NA,Up to 2013-2014,2250000,1000000,1000000,NA,NA,2250000,1000000,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,4.5,125,0,0,0,7,NULL,NULL,NULL,Yes,NULL,NA,No,253.04,253.04,0,0,0,253.04,253.04,0,0,0,253.04,No,NA,NULL,NA,NA,2,1,NULL
ANDHRA PRADESH,PRAKASAM,Chinaganjam,Chinaganjam,34,NA,On-drain/canal,Owned by Group of farmers,NULL,NA,NA,Up to 2013-2014,800000,200000,150000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca), Centrifugal Pump,Electric,4.5,0,120,0,0,NULL,7,0,NULL,Yes,NULL,NA,No,404.86,0,404.86,0,0,404.86,0,404.86,0,0,404.86,No,NA,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Chigurumamidi,1,NA,On-River,Owned by individual farmer,0.984,Scheduled-tribe,Male,Up to 2013-2014,2500,35000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Turbine/Jet pump,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,2.43,2.43,0,0,0,2.43,0,0,0,0,0,NA,NA,NULL,NA,NA,1,1,NULL
ANDHRA PRADESH,ANANTHAPUR,D.Hirehal,Hulikal,81,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by individual farmer,0.304,Scheduled-tribe,Female,Up to 2013-2014,70000,0,0,Government fund,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (lined / Pucca), Manual/animal,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,0.3,0.3,0,0,0,0.3,0.3,0,0,0,0.3,Yes,Storage not filled up fully,160,Full,Filled up every year,1,1,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Chigurumamidi,2,NA,On-River,Owned by individual farmer,1.64,OBC,Female,Up to 2013-2014,2500,25000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,4.05,4.05,0,0,0,4.05,0,0,0,0,0,NA,NA,NULL,NA,NA,1,2,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Chigurumamidi,7,NA,On-River,Owned by individual farmer,3.239,OBC,Male,Up to 2013-2014,1500,30000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,3.24,3.24,0,0,0,3.24,0,0,0,0,0,NA,NA,NULL,NA,NA,1,7,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Medapalle,3,NA,On-Stream,Owned by individual farmer,2.024,Scheduled-tribe,Male,Up to 2013-2014,2000,30000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.62,1.62,0,0,0,1.62,0,0,0,0,0,NA,NA,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Narlavaram,1,NA,On-Stream,Owned by individual farmer,1.619,Scheduled-tribe,Male,Up to 2013-2014,2500,38000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.62,1.62,0,0,0,1.62,0,0,0,0,0,NA,NA,NULL,NA,NA,1,1,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Narlavaram,11,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by individual farmer,0.992,Scheduled-tribe,Male,During 2014-2015,7500,35000,0,Government fund,NA,0,30000,Temporarily Not in use,2,Less discharge of water,NA,Under ground pipe, Turbine/Jet pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,2.02,2.02,0,0,0,2.02,0,0,0,0,0,NA,NA,100,Upto 1/4,Rarely filled up,1,11,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Narlavaram,5,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by individual farmer,1.312,Scheduled-tribe,Male,Up to 2013-2014,1500,35000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,7.5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.31,1.31,0,0,0,1.31,0,0,0,0,0,NA,NA,500,Upto 1/4,Rarely filled up,1,5,NULL
ANDHRA PRADESH,PRAKASAM,Maddipadu,Doddavarappadu,1,NA,On-Stream,Owned by individual farmer,2.024,Others,Female,Up to 2013-2014,100000,50000,1500,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe, Centrifugal Pump,Electric,4.5,30,30,0,0,7,7,0,NULL,No,Gundlakamma Reservoir Project,Water not available up to field from major/medium scheme,No,0.81,0.41,0.41,0,0,0.82,0.41,0.41,0,0,0.82,Yes,Storage not filled up fully,NULL,NA,NA,1,1,NULL
ANDHRA PRADESH,PRAKASAM,Maddipadu,Doddavarappadu,4,NA,On-Stream,Owned by individual farmer,1.619,Others,Female,Up to 2013-2014,50000,100000,2000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe, Centrifugal Pump,Electric,4.5,30,30,0,0,7,7,0,NULL,No,Gundlakamma Reservoir Project,Water not available up to field from major/medium scheme,No,4.05,2.02,2.03,0,0,4.05,2.02,2.03,0,0,4.05,Yes,Storage not filled up fully,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Ramavaram,1,NA,On-Stream,Govt. Owned,NULL,NA,NA,Up to 2013-2014,1500,25000,0,NA,NA,1500,25000,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.62,1.62,0,0,0,1.62,0,0,0,0,0,NA,NA,NULL,NA,NA,1,1,14
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Ramavaram,4,NA,On-Stream,Owned by individual farmer,4.049,Scheduled-tribe,Female,Up to 2013-2014,2000,35000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,4.05,4.05,0,0,0,4.05,0,0,0,0,0,NA,NA,NULL,NA,NA,1,4,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Ramavaram,6,NA,On-Stream,Owned by individual farmer,1.206,Scheduled-tribe,Male,Up to 2013-2014,1500,20000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.21,1.21,0,0,0,1.21,0,0,0,0,0,NA,NA,NULL,NA,NA,1,6,NULL
ANDHRA PRADESH,PRAKASAM,Zarugumilli,Chatukupadu,3,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,200000,50000,0,NA,NA,0,0,Permanently Not in use,5,NA,Dried up,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,32.39,0,32.39,0,0,32.39,NULL,NULL,NULL,NULL,NULL,NA,Storage not filled up fully,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Repakagommu,4,NA,On-Stream,Owned by individual farmer,2.429,OBC,Male,Up to 2013-2014,2500,35000,0,Government fund,NA,0,30000,Temporarily Not in use,2,Less discharge of water,NA,Under ground pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,2.02,2.02,0,0,0,2.02,0,0,0,0,0,NA,NA,NULL,NA,NA,1,4,NULL
ANDHRA PRADESH,PRAKASAM,Zarugumilli,Paidi Padu,1,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,200000,40000,0,NA,NA,0,0,Permanently Not in use,5,NA,Dried up,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,28.34,0,28.34,0,0,28.34,NULL,NULL,NULL,NULL,NULL,NA,Storage not filled up fully,NULL,NA,NA,1,1,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Repakagommu,14,NA,On-Stream,Owned by individual farmer,2.429,Others,Female,Up to 2013-2014,3000,30000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,2.43,1.62,0.81,0,0,2.43,0,0,0,0,0,NA,NA,NULL,NA,NA,1,14,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Repakagommu,15,NA,On-Stream,Owned by individual farmer,1.206,OBC,Male,Up to 2013-2014,2500,40000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.21,1.21,0.81,0,0,2.02,0,0,0,0,0,NA,NA,NULL,NA,NA,1,15,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Repakagommu,12,NA,On Tanks/Ponds/Reservoirs/check dams,Owned by individual farmer,0.81,Scheduled-tribe,Female,Up to 2013-2014,2500,35000,0,Government fund,NA,0,35000,Temporarily Not in use,2,Less discharge of water,NA,Surface pipe, Centrifugal Pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,0.81,0.81,0.49,0,0,1.3,0,0,0,0,0,NA,NA,200,Nil/Negligible filled up,Rarely filled up,1,12,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Tekupalle,3,NA,On-drain/canal,Owned by individual farmer,0.603,Scheduled-tribe,Male,Up to 2013-2014,7500,35000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha), Turbine/Jet pump,Diesel,3,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.49,1.49,0,0,0,1.49,0,0,0,0,0,NA,NA,NULL,NA,NA,1,3,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Tekupalle,1,NA,On-drain/canal,Owned by individual farmer,0.449,Scheduled-tribe,Male,Up to 2013-2014,6000,38000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Diesel,5,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.11,0,1.11,0,0,1.11,0,0,0,0,0,NA,NA,NULL,NA,NA,1,1,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Tekupalle,6,NA,On-drain/canal,Owned by individual farmer,2.522,Scheduled-tribe,Male,Up to 2013-2014,7500,38000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Diesel,6,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,2.18,0,2.18,0,0,2.18,0,0,0,0,0,NA,NA,NULL,NA,NA,1,6,NULL
ANDHRA PRADESH,WEST GODAVARI,VELAIRPADU,Tekupalle,7,NA,On-drain/canal,Owned by individual farmer,0.49,Scheduled-tribe,Male,Up to 2013-2014,7000,30000,0,Own savings,NA,0,0,Temporarily Not in use,2,Less discharge of water,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Diesel,6,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.21,0,1.21,0,0,1.21,0,0,0,0,0,NA,NA,NULL,NA,NA,1,7,NULL
ANDHRA PRADESH,PRAKASAM,Maddipadu,Inamanamellur,4,NA,On-Stream,Owned by individual farmer,0.587,Others,Male,Up to 2013-2014,20000,30000,3000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe, Centrifugal Pump,Electric,4.5,0,0,0,0,NULL,NULL,NULL,NULL,No,Gundlakamma Reservoir Project,Water not available up to field from major/medium scheme,No,0.59,0,0,0.59,0,0.59,0,0,0.59,0,0.59,No,NA,NULL,NA,NA,2,4,NULL
ANDHRA PRADESH,PRAKASAM,Maddipadu,Inamanamellur,6,NA,On-Stream,Owned by individual farmer,0.887,Others,Male,Up to 2013-2014,20000,30000,2000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe, Centrifugal Pump,Electric,4.5,0,0,0,0,NULL,NULL,NULL,NULL,No,Gundlakamma Reservoir Project,Water not available up to field from major/medium scheme,No,0.89,0,0,0.89,0,0.89,0,0,0.89,0,0.89,No,NA,NULL,NA,NA,2,6,NULL
ANDHRA PRADESH,PRAKASAM,Maddipadu,Inamanamellur,11,NA,On-Stream,Owned by individual farmer,1.036,Others,Male,Up to 2013-2014,20000,30000,2000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe, Centrifugal Pump,Electric,4.5,0,0,0,0,NULL,NULL,NULL,NULL,No,Gundlakamma Reservoir Project,Water not available up to field from major/medium scheme,No,1.04,0,0,1.04,0,1.04,0,0,1.04,0,1.04,No,NA,NULL,NA,NA,2,11,NULL
ANDHRA PRADESH,PRAKASAM,Maddipadu,Inamanamellur,18,NA,On-Stream,Owned by individual farmer,0.215,OBC,Male,Up to 2013-2014,20000,30000,2000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe, Centrifugal Pump,Electric,4.5,30,30,0,0,7,7,0,NULL,No,Gundlakamma Reservoir Project,Water not available up to field from major/medium scheme,No,0.22,0.22,0.22,0,0,0.44,0.22,0.22,0,0,0.44,No,NA,NULL,NA,NA,2,18,NULL
ANDHRA PRADESH,KRISHNA,Chandarlapadu,Chintalapadu,2,NA,On-River,Govt. Owned,NULL,NA,NA,Up to 2013-2014,5600000,600000,10000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Others,Electric,10,80,80,0,0,7,7,0,NULL,Yes,NULL,NA,No,404.86,404.86,404.86,0,0,809.72,404.86,404.86,0,0,809.72,No,NA,NULL,NA,NA,1,2,2
ANDHRA PRADESH,PRAKASAM,Kurichedu,Mustla Gangavaram,56,NA,On-River,Owned by individual farmer,2.024,Others,Male,Up to 2013-2014,10000,50000,4000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Submersible pump,Electric,4.5,35,0,0,0,9,NULL,NULL,NULL,Yes,NULL,NA,No,2.02,2.02,0,0,0,2.02,2.02,0,0,0,2.02,No,NA,NULL,NA,NA,1,56,NULL
ANDHRA PRADESH,WEST GODAVARI,TALLAPUDI,Bayyavaram,1,NA,On-drain/canal,Others,NULL,NA,NA,Up to 2013-2014,0,0,0,NA,NA,0,0,Permanently Not in use,3,NA,Dried up,NA,NA,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.22,0.81,0.81,0,0,1.62,NULL,NULL,NULL,NULL,NULL,NA,NA,NULL,NA,NA,2,1,NULL
ANDHRA PRADESH,KRISHNA,Gampalagudem,Anumollanka,2,NA,On Tanks/Ponds/Reservoirs/check dams,Govt. Owned,NULL,NA,NA,Up to 2013-2014,550000,50000,65000,NA,NA,0,0,Temporarily Not in use,2,Any other reason,NA,Other,Others,Electric,10,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,48.58,48.58,0,0,0,48.58,0,0,0,0,0,NA,NA,12,Upto 1/2,Usually filled up,1,2,NULL
ANDHRA PRADESH,PRAKASAM,Addanki,Kotikalapudi,11,NA,On-River,Owned by individual farmer,1.619,Others,Female,Up to 2013-2014,100000,50000,5000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Under ground pipe,Submersible pump,Electric,5,120,90,0,0,7,7,0,NULL,No,NSRC,Water not available up to field from major/medium scheme,No,0.88,0.32,0.56,0,0,0.88,0.32,0.56,0,0,0.88,No,NA,NULL,NA,NA,1,11,NULL
ANDHRA PRADESH,PRAKASAM,Kurichedu,Perambotla Palem,1,NA,On-drain/canal,Owned by individual farmer,1.215,Others,Male,Up to 2013-2014,5000,18000,2000,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe,Submersible pump,Electric,4.5,0,150,0,0,NULL,6,0,NULL,Yes,NULL,NA,No,0.41,0,0.41,0,0,0.41,0,0.41,0,0,0.41,Yes,Storage not filled up fully,NULL,NA,NA,1,1,NULL
ANDHRA PRADESH,PRAKASAM,Addanki,Kotikalapudi,4,NA,On-River,Owned by individual farmer,1.619,Others,Male,During 2015-2016,250000,25000,5000,Own savings,NA,0,0,Temporarily Not in use,1,Less discharge of water,NA,Under ground pipe,Submersible pump,Electric,5,90,0,0,0,6,NULL,NULL,NULL,No,NSRC,Water not available up to field from major/medium scheme,No,0.6,0.41,0.19,0,0,0.6,0,0,0,0,0,NA,NA,NULL,NA,NA,1,4,NULL
ANDHRA PRADESH,PRAKASAM,Addanki,Kotikalapudi,6,NA,On-River,Owned by individual farmer,0.413,Others,Male,Up to 2013-2014,250000,50000,5000,Own savings,NA,0,0,Temporarily Not in use,1,Less discharge of water,NA,Under ground pipe,Submersible pump,Electric,5,90,0,0,0,6,NULL,NULL,NULL,Yes,NULL,NA,No,0.41,0.2,0.21,0,0,0.41,0,0,0,0,0,NA,NA,NULL,NA,NA,1,6,NULL
ANDHRA PRADESH,PRAKASAM,Kurichedu,Perambotla Palem,7,NA,On-drain/canal,Owned by individual farmer,1.644,Others,Male,Up to 2013-2014,6000,14000,0,Own savings,NA,0,0,In-Use,NULL,NA,NA,Surface pipe,Submersible pump,Electric,4.5,128,0,0,0,7,NULL,NULL,NULL,Yes,NULL,NA,No,0.61,0.61,0,0,0,0.61,0.61,0,0,0,0.61,No,NA,NULL,NA,NA,1,7,NULL
ANDHRA PRADESH,WEST GODAVARI,TALLAPUDI,Pochavaram,9,NA,On-drain/canal,Owned by individual farmer,1.215,Others,Male,Up to 2013-2014,25000,10000,2000,Own savings,NA,0,0,Temporarily Not in use,2,Mechanical break down,NA,Drip,Others,Diesel,3,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.22,1.22,1.22,0,0,2.44,0,0,0,0,0,NA,NA,NULL,NA,NA,1,9,NULL
ANDHRA PRADESH,WEST GODAVARI,TALLAPUDI,Bayyavaram,4,NA,On-drain/canal,Others,NULL,NA,NA,Up to 2013-2014,50000,35000,15000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Others,Diesel,2.5,70,0,0,0,7,NULL,NULL,NULL,Yes,NULL,NA,No,1.22,1.22,0,0,0,1.22,1.22,0,0,0,1.22,No,NA,NULL,NA,NA,1,4,NULL
ANDHRA PRADESH,WEST GODAVARI,TALLAPUDI,Bayyavaram,15,NA,On-drain/canal,Others,NULL,NA,NA,Up to 2013-2014,50000,35000,15000,NA,NA,0,0,In-Use,NULL,NA,NA,Open Water Channel (unlined / Kutcha),Others,Diesel,2.5,65,0,0,0,7,NULL,NULL,NULL,Yes,NULL,NA,No,2.02,2.02,0,0,0,2.02,2.02,0,0,0,2.02,No,NA,NULL,NA,NA,1,15,NULL
ANDHRA PRADESH,WEST GODAVARI,TALLAPUDI,Ragolapalle,2,NA,On-drain/canal,Owned by individual farmer,1.619,Others,Male,Up to 2013-2014,25000,30000,8000,Own savings,NA,0,0,Temporarily Not in use,2,Mechanical break down,NA,Drip,Others,Diesel,3,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,1.62,1.62,1.62,0,0,3.24,0,0,0,0,0,NA,NA,NULL,NA,NA,1,2,NULL
ANDHRA PRADESH,WEST GODAVARI,TALLAPUDI,Ragolapalle,5,NA,On-drain/canal,Owned by individual farmer,0.405,Others,Male,Up to 2013-2014,35000,25000,3000,Own savings,NA,0,0,Temporarily Not in use,2,Mechanical break down,NA,Drip,Others,Diesel,3,0,0,0,0,NULL,NULL,NULL,NULL,Yes,NULL,NA,No,0.41,0.41,0.41,0,0,0.82,0,0,0,0,0,NA,NA,NULL,NA,NA,1,5,NULL
